"origin"	"sim1"	"sim2"	"sim3"	"sim4"	"sim5"	"sim6"	"sim7"	"sim8"	"sim9"	"sim10"
"Jokinek Amaia bazkari batera gonbidatu zuen"	"Jokinek gonbidapen bat eskeini zion Amaiari bazkari baterako"	"Jokinek Amaiari galdetu zion, ea berarekin bazkaldu nahi zuen"	"Jokinek Amaiari galdetu zion: Nahiko zenuke nirekin bazkaltzera joan?"	"Amaiak galdera jaso zuen Jokinengandik, ea bazkaltzea joan nahiko lukeen"	"Jokinek Amaiari gonbidapen bat eskeini zion otordu baterako"	"Amaiak gonbidapen bat jaso zuen Jokinengandik"	"Bazkaltzeko elkartu ziren Jokin eta Amaia"	"Jokinek eta Amaiak otordu bat gozatu zuten elkarrekin"	"Amaiak eta Jokinek erabaki zuten, elkarrekin bazkaltzera joatea"	"Amaiak Jokin gonbidatu zuen bazkari batera"
"Jokinek Amaia bazkari batera gonbidatu zuen"	"Jokinek gonbidapen bat eskeini zion Amaiari bazkari baterako"	"Jokinek Amaiari galdetu zion: Nahiko zenuke nirekin bazkaltzera joan?"	"Jokinek Amaiari gonbidapen bat eskeini zion otordu baterako"	"Bazkaltzeko elkartu ziren Jokin eta Amaia"	"Amaiak Jokin gonbidatu zuen bazkari batera"	"Amaia eta Jokin lagunak dira"	"Bazkaltzera joan nintzen atzo"	"Nire ama gonbidatu dut bidai batera"	"Jokinek oso gustora bazkaltzen du"	"Ahateak ikusi ditut parkean"
"Medikuak gaixoa bazkari batera gonbidatu zuen"	"Medikuak gonbidapen bat eskeini zion gaixoari bazkari baterako"	"Medikuak gaixoari galdetu zion: Nahiko zenuke nirekin bazkaltzera joan?"	"Medikuak gaixoari gonbidapen bat eskeini zion otordu baterako"	"Bazkaltzeko elkartu ziren medikua eta gaixoa"	"gaixoak medikua gonbidatu zuen bazkari batera"	"gaixoa eta medikua lagunak dira"	"Bazkaltzera joan nintzen atzo"	"Nire ama gonbidatu dut bidai batera"	"Medikuak oso gustora bazkaltzen du"	"Ahateak ikusi ditut parkean"
"Mikel mendira joan da"	"Mendira joan da Mikel"	"Mendian gora abiatu da Mikel"	"Mendian egon da Mikel"	"Mikelek erabaki du mendira joatea"	"Mendira joateko plana egin du Mikelek"	"Mikelek esan du, mendira doala"	"Mikelek aipamena egin du, agian mendira joango zela"	"Mikelek mendia gustoko du"	"Mikelek esan du, ez doala mendira"	"Mikel ez da mendira joan"
"Mikel mendira joan da"	"Mendira joan da Mikel"	"Mendian egon da Mikel"	"Mendira joateko plana egin du Mikelek"	"Mikelek aipamena egin du, agian mendira joango zela"	"Mikel ez da mendira joan"	"Mikelek mendia gustoko du"	"Oso polita dago mendia gaur"	"Txoria parkera joan da"	"Zinean oso pelikula onak daude"
"Atzo gure etxera etorri zinen afaltzera"	"Afaltzera etorri zinen gure etxera atzo"	"Atzo gurekin afaldu zenuen gure etxean"	"Gure etxean izan zinen atzo afaltzen"	"Atzo gure etxean afaltzeko gonbidapena onartu zenuen"	"Atzo elkarrekin afaldu genuen denok"	"Elkarrekin bazkaldu genezakeen atzo"	"Atzo etorri zen afaltzera"	"Bihar etorriko da bazkaltzera"	"Zure etxera joan nitzen afaltzera"	"Atzo zuen etxera etorriko dira afaltzera"
"Atzo gure etxera etorri zinen afaltzera"	"Afaltzera etorri zinen gure etxera atzo"	"Gure etxean izan zinen atzo afaltzen"	"Atzo elkarrekin afaldu genuen denok"	"Atzo etorri zen afaltzera"	"Atzo zuen etxera etorriko dira afaltzera"	"Atzoko afaria oso ona zegoen"	"Atzo gure herrira etorri zinen"	"Gure etxea berritu dugu"	"Afaltzera joatea oso ideia ona da"	"Eguraldi hau ez zait gustatzen"
"Zoriontasuna ez da norberak gustoko duena egitea, egiten duzuna gustokoa izatea baizik"	"Egiten duzuna gustokoa izateak egiten zaitu zoriontsu, ez zuk nahi duzuna egiteak"	"Izan ditzazu gustoko egindako gauzak eta izango zara zoriontsu"	"Zoriontasunaren iturria da egiten duzuna maitatzea"	"Zoriontasuna da, egindakoa gustoko izatea"	"Gustuz egiten dena da zoriontasuna"	"Gustoko duzuna egiteak ez zaitu zoriontsu egingo"	"Egiten duzuna, ez gustoko duzuna, da zoriontasuna"	"Egin nahi duzuna zoriontsu izateko"	"Egin ditzazu gustoko dituzun gauzak eta izango zara zoriontsu"	"Beti ezin da norberak gustoko duena egin"	"Zoriontasuna ez da egiten duzuna gustokoa izatea, norberak gustoko duena egitea baizik"
"Zoriontasuna ez da norberak gustoko duena egitea, egiten duzuna gustokoa izatea baizik"	"Egiten duzuna gustokoa izateak egiten zaitu zoriontsu, ez zuk nahi duzuna egiteak"	"Zoriontasunaren iturria da egiten duzuna maitatzea"	"Gustuz egiten dena da zoriontasuna"	"Egiten duzuna, ez gustoko duzuna, da zoriontasuna"	"Zoriontasuna ez da egiten duzuna gustokoa izatea, norberak gustoko duena egitea baizik"	"Zoriontasuna ekintzetan nabarmentzen da"	"Norberak gustoko duena egitea oso polita da"	"Zoriontasuna da jende askoren helburua"	"Egiten duzun guztiak ezin du ona izan"	"Ordenagailua piztu dut gaur"
"Maite dudalako sortzen dut"	"Sortzen dut maite dudalako"	"Maitasunaren ondorioz sortzen dut"	"Maite dut: ondorioz, sortzen dut"	"Sortzearen arrazoia maitasuna da"	"Nire sorkuntzaren iturria maitasuna da"	"Maite nuelako sortu nuen"	"Sortu ondoren maitatu nuen"	"Maite duzulako sortzen duzu"	"Ez dut maite, beraz ez dut sortzen"	"Sortzen dudalako maite dut"
